platform,title,price,raw_price,location,rating,url,description
airbnb,Sakaisuji-Honmachi Station 5 min／Double type,86.00,$86,"hotel in Chuo, Japan",4.72,https://www.airbnb.com/rooms/866397969436927384?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-08&children=0&infants=0&pets=0&photo_id=1660390539&source_impression_id=p3_1771475581_P357EqlNT2b8ihl7&previous_page_section_name=1000&federated_search_id=45f86b8d-8ca2-45bd-bd85-db768c4d423f,"Newly opened hotel Ideal for solo travelers, business travelers, couples and families ◎ Easy access in all directions. Sakaisuji-Honmachi station 5 mins walk. -Shinsaibashi station 10 minutes by wal..."
airbnb,"Japanese room in Osaka,good access to Kyoto,",52.00,$52,"hostel in Joto Ward, Japan",4.88,https://www.airbnb.com/rooms/18015519?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1771475586_P3bM0-mldxd2QFCg&previous_page_section_name=1000&federated_search_id=00e8c741-8ec4-4c19-b333-cdf9efab872e,Opened in 2017 with the concept of traveling as if you were living there It is a Japanese-style room in a modern architectural design guest house. ※ The toilet and shower will be shared with other g...
airbnb,24 Setia Sky 88 NearKSLMall/1Bedroom/2Pax/CityView,83.00,$83,"Johor Bahru, Malaysia",4.75,https://www.airbnb.com/rooms/1586797904938601137?search_mode=regular_search&adults=1&check_in=2026-04-10&check_out=2026-04-12&children=0&infants=0&pets=0&source_impression_id=p3_1771475629_P3nCx6E-c_69xZU0&previous_page_section_name=1000&federated_search_id=cf06203c-c866-42c8-bb42-53e5eae1c7de,"Our 1 Bedroom Apartment located at Setia Sky88 JB. Just minutes away from KSL City Mall, Perfect for a couple getaway, solo retreat, or even business trips. Location Highlights: 🚗5 mins drive to KS..."
airbnb,"CozyStudio #1-3pax, Paradigm Mall, Legoland [Wi-Fi]",83.00,$83,"Skudai, Malaysia",4.85,https://www.airbnb.com/rooms/42768237?search_mode=regular_search&adults=1&check_in=2026-03-20&check_out=2026-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1771475633_P3jkopjQtNSlOsva&previous_page_section_name=1000&federated_search_id=ea2396a1-c0b8-48e6-92dc-d84893e73aff,"Amazing location in the heart of Johor Bahru, it is undeniably your first and preferred choice for your stay in Johor Bahru. Stylish cozy studio apartment with hotel facilities. Food heaven, nightlife..."
airbnb,Palazio Comfy Studio/2Pax Lake View Mount Austin,72.00,$72,"Johor Bahru, Malaysia",4.55,https://www.airbnb.com/rooms/1295254043427661154?search_mode=regular_search&adults=1&check_in=2026-03-13&check_out=2026-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1771475634_P3AZW9oYb36YfZhC&previous_page_section_name=1000&federated_search_id=ea2396a1-c0b8-48e6-92dc-d84893e73aff,🔥 Palazio Mount Austin By Stayrene 🔥 An affordable yet comfortable studio unit located in a strategic location Mount Austin where lots of tasty foods are just steps away from you! Enjoy your unf...
airbnb,Seoul Couple Studio R&F PHASE 2/5min Walk from CIQ,96.00,$96,"Johor Bahru, Malaysia",4.79,https://www.airbnb.com/rooms/1278892637540775209?search_mode=regular_search&adults=1&check_in=2026-05-15&check_out=2026-05-17&children=0&infants=0&pets=0&photo_id=2043465092&source_impression_id=p3_1771475629_P3pMD4wTnUScKI30&previous_page_section_name=1000&federated_search_id=cf06203c-c866-42c8-bb42-53e5eae1c7de,"Neo Suite is located at R&F Seine Region (PHASE 2). Opposite is R&F Mall, which is super convenient for shoppers, foodies & travellers! Emperor Cinema, Jaya Grocer, Guoma Express, Ba Kut Teh, The Alle..."
airbnb,BLUEBOAT Hostel #Women-only floor #Exclusive single room #Spacious common space #Powder room,58.00,$58,hostel in South Korea,4.78,https://www.airbnb.com/rooms/1517215300534929133?search_mode=regular_search&adults=1&check_in=2026-03-20&check_out=2026-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1771475723_P3OP_LQ_xl_lQxpo&previous_page_section_name=1000&federated_search_id=ae185e95-fb50-42d3-bdfb-bdbfbae8475c,Single room for women only. Male reservations are not available. The space Blueboat Hostel Haeundae Blue Boat Guesthouse Haeundae Check-in: from 3: 00 PM Check-out: until 11 am Inquiry: 9am-6pm Contac...
airbnb,Ara guest house room 207,47.00,$47,hotel in South Korea,4.89,https://www.airbnb.com/rooms/946046066669091848?search_mode=regular_search&adults=1&check_in=2026-05-01&check_out=2026-05-03&children=0&infants=0&pets=0&source_impression_id=p3_1771475719_P320eHpdo3L9UU2M&previous_page_section_name=1000&federated_search_id=3b7128ca-9966-45e6-813b-3fee4227333f,"Araguest House is in an optimal location close to Gimhae Airport, making it the most convenient choice for travelers departing early in the morning. We will be a reliable base while traveling in Busan..."
airbnb,Netflix + washing machine equipped! Nampo Healing Room where you only need to come!,103.00,$103,"Busan, South Korea",4.78,https://www.airbnb.com/rooms/1251776629539317547?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1771475718_P3rvDLwPeBVXzkW_&previous_page_section_name=1000&federated_search_id=3b7128ca-9966-45e6-813b-3fee4227333f,"❤️ Your own free stay, Urban Stay Urban Stay is a place you can trust when you want to go on your own free trip anytime, anywhere. We offer a comfortable stay and space. - Direct check-in (On the ..."
airbnb,Emerald Ocean View #Nampo # Jagalchi # Busan Station # Yeongdo # Taejongdae # White Yeoul Cultural Village # Songdo Cable Car,227.00,$227,"Dongsam-dong, Yeongdo-gu, South Korea",4.95,https://www.airbnb.com/rooms/41600521?search_mode=regular_search&adults=1&check_in=2026-06-05&check_out=2026-06-07&children=0&infants=0&pets=0&source_impression_id=p3_1771475723_P3mmD7R1umR-OT0y&previous_page_section_name=1000&federated_search_id=ae185e95-fb50-42d3-bdfb-bdbfbae8475c,"Ocean view with the best beauty in Korea !!! You can enjoy sunrise and sunset at the same time, and the clear air of your heart, the sound of the waves crashing on the rocks, the sea shining in the mo..."
